DROPOFF_LOCATION_CODE,PICKUP_DAY,PICKUP_HOUR,PICKUP_LOCATION_CODE,PICKUP_MINUTE,PICKUP_MONTH,PICKUP_YEAR,RATE_CODE,TOTAL_AMOUNT,TRIP_DISTANCE,VENDOR_ID
Loc_236,2,14,Loc_237,21,2,2019,GroupRide,9.75,0.83,VeriFone Inc.
Loc_230,3,17,Loc_229,14,6,2019,GroupRide,11.3,0.8,"Creative Mobile Technologies, LLC"
Loc_164,19,10,Loc_145,41,5,2019,GroupRide,66.42,2.76,VeriFone Inc.
Loc_230,10,12,Loc_88,9,6,2019,GroupRide,27.3,6.3,"Creative Mobile Technologies, LLC"
Loc_230,12,22,Loc_138,3,3,2019,GroupRide,50.46,11.2,"Creative Mobile Technologies, LLC"
Loc_132,16,11,Loc_144,59,3,2019,GroupRide,63.6,17.42,VeriFone Inc.
Loc_234,16,20,Loc_68,11,2,2019,GroupRide,13.3,1.11,VeriFone Inc.
Loc_233,12,19,Loc_262,19,2,2019,GroupRide,17.76,2.43,VeriFone Inc.
Loc_129,21,21,Loc_100,6,5,2019,GroupRide,38.92,9.0,"Creative Mobile Technologies, LLC"
Loc_40,21,17,Loc_107,28,3,2019,GroupRide,34.56,6.64,VeriFone Inc.
Loc_43,2,18,Loc_141,7,3,2019,GroupRide,9.3,0.91,VeriFone Inc.
Loc_75,15,15,Loc_141,2,1,2019,GroupRide,12.96,2.25,VeriFone Inc.
Loc_229,1,19,Loc_138,48,2,2019,GroupRide,38.06,8.0,"Creative Mobile Technologies, LLC"
Loc_186,30,17,Loc_170,13,3,2019,GroupRide,12.95,0.9,"Creative Mobile Technologies, LLC"
Loc_113,24,14,Loc_114,17,2,2019,GroupRide,11.76,0.87,VeriFone Inc.
Loc_236,26,16,Loc_237,13,4,2019,GroupRide,7.8,0.36,VeriFone Inc.
Loc_211,15,9,Loc_132,29,4,2019,GroupRide,73.7,20.03,VeriFone Inc.
Loc_237,4,10,Loc_237,10,6,2019,GroupRide,9.96,0.64,VeriFone Inc.
Loc_151,5,18,Loc_137,51,2,2019,GroupRide,32.16,5.71,VeriFone Inc.
Loc_164,20,8,Loc_233,51,2,2019,GroupRide,18.5,0.7,VeriFone Inc.
Loc_233,26,9,Loc_230,10,4,2019,GroupRide,12.8,1.41,VeriFone Inc.
Loc_75,6,13,Loc_17,15,4,2019,GroupRide,46.92,13.15,VeriFone Inc.
Loc_142,17,13,Loc_137,41,1,2019,GroupRide,20.3,3.55,VeriFone Inc.
Loc_170,14,19,Loc_43,55,6,2019,GroupRide,23.75,4.0,"Creative Mobile Technologies, LLC"
Loc_170,4,21,Loc_230,11,2,2019,GroupRide,13.39,1.18,VeriFone Inc.
Loc_163,14,17,Loc_186,12,1,2019,GroupRide,11.8,1.8,"Creative Mobile Technologies, LLC"
Loc_229,3,17,Loc_163,22,1,2019,GroupRide,9.36,0.74,VeriFone Inc.
Loc_100,22,19,Loc_229,5,2,2019,GroupRide,21.95,1.8,"Creative Mobile Technologies, LLC"
Loc_233,6,20,Loc_107,1,3,2019,GroupRide,14.16,1.3,VeriFone Inc.
Loc_246,14,19,Loc_48,44,6,2019,GroupRide,11.76,0.63,VeriFone Inc.
Loc_80,22,22,Loc_232,5,1,2019,GroupRide,12.7,2.0,"Creative Mobile Technologies, LLC"
Loc_249,30,11,Loc_68,49,1,2019,GroupRide,17.88,2.1,VeriFone Inc.
Loc_113,8,14,Loc_164,31,2,2019,GroupRide,16.56,1.9,VeriFone Inc.
Loc_148,2,18,Loc_229,46,1,2019,GroupRide,14.3,3.12,VeriFone Inc.
Loc_137,16,7,Loc_113,40,4,2019,GroupRide,12.42,1.61,VeriFone Inc.
Loc_116,10,13,Loc_238,3,2,2019,GroupRide,18.3,3.78,VeriFone Inc.
Loc_229,2,18,Loc_229,49,5,2019,GroupRide,8.75,0.2,"Creative Mobile Technologies, LLC"
Loc_170,22,21,Loc_138,37,6,2019,GroupRide,42.4,7.54,VeriFone Inc.
Loc_256,10,16,Loc_79,42,2,2019,GroupRide,21.95,3.0,"Creative Mobile Technologies, LLC"
Loc_143,27,13,Loc_237,48,6,2019,GroupRide,11.3,1.3,"Creative Mobile Technologies, LLC"
Loc_90,8,17,Loc_186,15,3,2019,GroupRide,9.35,0.4,"Creative Mobile Technologies, LLC"
Loc_90,2,4,Loc_236,2,2,2019,GroupRide,21.96,4.51,VeriFone Inc.
Loc_79,7,17,Loc_148,5,4,2019,GroupRide,9.96,0.64,VeriFone Inc.
Loc_233,13,23,Loc_107,38,6,2019,GroupRide,12.96,1.37,VeriFone Inc.
Loc_4,5,20,Loc_186,43,2,2019,GroupRide,17.8,2.47,VeriFone Inc.
Loc_238,9,18,Loc_143,32,4,2019,GroupRide,15.36,1.92,VeriFone Inc.
Loc_100,11,19,Loc_48,57,5,2019,GroupRide,15.3,1.31,VeriFone Inc.
Loc_230,27,18,Loc_163,30,2,2019,GroupRide,12.36,0.61,VeriFone Inc.
Loc_129,16,16,Loc_100,7,6,2019,GroupRide,35.3,7.41,VeriFone Inc.
Loc_113,5,16,Loc_238,59,1,2019,GroupRide,24.3,6.2,"Creative Mobile Technologies, LLC"
Loc_140,21,14,Loc_142,18,1,2019,GroupRide,12.8,2.68,VeriFone Inc.
Loc_230,29,15,Loc_162,5,6,2019,GroupRide,11.16,0.77,VeriFone Inc.
Loc_68,1,11,Loc_249,39,1,2019,GroupRide,6.96,0.71,VeriFone Inc.
Loc_230,13,11,Loc_170,12,5,2019,GroupRide,11.76,0.76,VeriFone Inc.
Loc_161,21,11,Loc_90,45,4,2019,GroupRide,11.88,1.4,"Creative Mobile Technologies, LLC"
Loc_170,17,19,Loc_90,58,4,2019,GroupRide,14.16,1.51,VeriFone Inc.
Loc_162,5,15,Loc_90,31,3,2019,GroupRide,25.55,3.0,"Creative Mobile Technologies, LLC"
Loc_262,3,14,Loc_237,6,5,2019,GroupRide,12.43,1.2,"Creative Mobile Technologies, LLC"
Loc_107,5,11,Loc_229,21,3,2019,GroupRide,19.8,3.5,"Creative Mobile Technologies, LLC"
Loc_170,20,6,Loc_234,57,2,2019,GroupRide,12.96,1.57,VeriFone Inc.
Loc_198,30,2,Loc_231,45,3,2019,GroupRide,28.3,7.1,VeriFone Inc.
Loc_90,19,10,Loc_48,15,6,2019,GroupRide,18.8,1.6,"Creative Mobile Technologies, LLC"
Loc_142,2,22,Loc_237,3,6,2019,GroupRide,15.36,1.62,VeriFone Inc.
Loc_37,22,16,Loc_226,1,1,2019,GroupRide,29.8,6.1,"Creative Mobile Technologies, LLC"
Loc_164,18,14,Loc_234,19,6,2019,GroupRide,14.75,0.8,"Creative Mobile Technologies, LLC"
Loc_79,12,12,Loc_125,48,3,2019,GroupRide,13.55,0.9,"Creative Mobile Technologies, LLC"
Loc_237,24,20,Loc_170,19,5,2019,GroupRide,10.3,1.23,VeriFone Inc.
Loc_233,2,22,Loc_263,12,5,2019,GroupRide,18.96,2.53,VeriFone Inc.
Loc_233,12,17,Loc_231,38,4,2019,GroupRide,30.8,5.24,VeriFone Inc.
Loc_141,12,22,Loc_263,32,2,2019,GroupRide,7.8,0.5,"Creative Mobile Technologies, LLC"
Loc_246,25,23,Loc_48,15,1,2019,GroupRide,9.8,1.7,"Creative Mobile Technologies, LLC"
Loc_141,12,21,Loc_162,38,2,2019,GroupRide,14.16,1.77,VeriFone Inc.
Loc_113,13,12,Loc_68,28,6,2019,GroupRide,13.3,1.15,VeriFone Inc.
Loc_107,5,8,Loc_138,45,4,2019,GroupRide,59.9,12.32,VeriFone Inc.
Loc_161,10,15,Loc_261,27,6,2019,GroupRide,28.3,3.7,"Creative Mobile Technologies, LLC"
Loc_262,28,22,Loc_162,47,3,2019,GroupRide,16.8,3.6,"Creative Mobile Technologies, LLC"
Loc_48,22,14,Loc_143,3,4,2019,GroupRide,10.8,1.12,VeriFone Inc.
Loc_41,5,5,Loc_231,13,1,2019,GroupRide,28.56,7.08,VeriFone Inc.
Loc_264,9,11,Loc_264,25,1,2019,GroupRide,11.75,1.9,"Creative Mobile Technologies, LLC"
Loc_264,17,22,Loc_20,58,5,2019,GroupRide,56.0,0.0,"Creative Mobile Technologies, LLC"
Loc_186,16,15,Loc_90,56,1,2019,GroupRide,5.8,0.44,VeriFone Inc.
Loc_90,21,10,Loc_113,28,2,2019,GroupRide,13.55,1.2,"Creative Mobile Technologies, LLC"
Loc_138,25,4,Loc_107,52,5,2019,GroupRide,49.67,11.6,"Creative Mobile Technologies, LLC"
Loc_50,23,17,Loc_142,37,2,2019,GroupRide,7.8,0.51,VeriFone Inc.
Loc_50,24,12,Loc_68,36,3,2019,GroupRide,10.3,0.87,VeriFone Inc.
Loc_143,13,9,Loc_142,4,2,2019,GroupRide,7.8,0.5,"Creative Mobile Technologies, LLC"
Loc_161,28,12,Loc_246,9,5,2019,GroupRide,22.8,1.6,"Creative Mobile Technologies, LLC"
Loc_242,1,14,Loc_142,22,5,2019,GroupRide,62.76,16.87,VeriFone Inc.
Loc_164,15,23,Loc_113,44,2,2019,GroupRide,14.1,1.7,"Creative Mobile Technologies, LLC"
Loc_233,25,11,Loc_88,47,1,2019,GroupRide,17.3,5.36,VeriFone Inc.
Loc_239,15,9,Loc_236,47,3,2019,GroupRide,10.3,1.08,VeriFone Inc.
Loc_48,25,13,Loc_246,19,5,2019,GroupRide,17.3,1.95,VeriFone Inc.
Loc_246,23,9,Loc_90,19,4,2019,GroupRide,10.8,0.7,"Creative Mobile Technologies, LLC"
Loc_163,20,16,Loc_237,32,4,2019,GroupRide,10.3,0.6,"Creative Mobile Technologies, LLC"
Loc_7,2,23,Loc_88,0,5,2019,GroupRide,37.56,8.49,VeriFone Inc.
Loc_186,5,12,Loc_236,44,4,2019,GroupRide,27.37,3.1,"Creative Mobile Technologies, LLC"
Loc_246,25,12,Loc_186,47,1,2019,GroupRide,8.8,0.8,VeriFone Inc.
Loc_107,20,21,Loc_162,45,3,2019,GroupRide,17.25,2.12,VeriFone Inc.
Loc_236,10,9,Loc_262,57,6,2019,GroupRide,10.56,0.61,VeriFone Inc.
Loc_186,28,23,Loc_162,47,3,2019,GroupRide,16.0,1.45,VeriFone Inc.
Loc_170,10,11,Loc_158,17,1,2019,GroupRide,18.75,2.5,"Creative Mobile Technologies, LLC"
Loc_230,11,6,Loc_90,43,3,2019,GroupRide,12.36,1.66,VeriFone Inc.
Loc_75,7,11,Loc_116,48,6,2019,GroupRide,19.8,3.48,VeriFone Inc.
Loc_234,29,7,Loc_79,17,3,2019,GroupRide,12.05,1.5,"Creative Mobile Technologies, LLC"
Loc_50,23,17,Loc_68,7,3,2019,GroupRide,15.36,1.5,VeriFone Inc.
Loc_75,18,8,Loc_263,5,6,2019,GroupRide,13.55,1.3,"Creative Mobile Technologies, LLC"
Loc_239,28,16,Loc_142,35,3,2019,GroupRide,8.3,0.55,VeriFone Inc.
Loc_74,13,23,Loc_238,2,6,2019,GroupRide,14.8,2.75,VeriFone Inc.
Loc_158,16,22,Loc_48,35,4,2019,GroupRide,23.1,2.6,"Creative Mobile Technologies, LLC"
Loc_148,6,8,Loc_107,47,4,2019,GroupRide,12.3,1.64,VeriFone Inc.
Loc_164,22,10,Loc_246,17,3,2019,GroupRide,17.76,1.37,VeriFone Inc.
Loc_263,30,18,Loc_170,30,4,2019,GroupRide,20.38,2.64,VeriFone Inc.
Loc_161,12,13,Loc_142,36,4,2019,GroupRide,13.56,1.45,VeriFone Inc.
Loc_107,7,20,Loc_148,34,2,2019,GroupRide,13.3,1.37,VeriFone Inc.
Loc_230,13,14,Loc_239,26,1,2019,GroupRide,13.3,2.35,VeriFone Inc.
Loc_161,20,15,Loc_164,50,4,2019,GroupRide,10.55,1.0,"Creative Mobile Technologies, LLC"
Loc_113,8,14,Loc_162,56,2,2019,GroupRide,17.76,2.19,VeriFone Inc.
Loc_234,12,14,Loc_237,12,5,2019,GroupRide,17.3,2.77,VeriFone Inc.
Loc_164,28,21,Loc_230,6,1,2019,GroupRide,9.8,1.36,VeriFone Inc.
Loc_74,20,22,Loc_162,45,5,2019,GroupRide,21.96,4.42,VeriFone Inc.
Loc_237,14,5,Loc_132,59,5,2019,GroupRide,73.7,18.44,VeriFone Inc.
Loc_41,5,8,Loc_166,21,6,2019,GroupRide,8.8,1.5,"Creative Mobile Technologies, LLC"
Loc_148,11,0,Loc_144,21,6,2019,GroupRide,8.3,0.5,"Creative Mobile Technologies, LLC"
Loc_88,20,18,Loc_13,31,2,2019,GroupRide,15.36,1.51,VeriFone Inc.
Loc_142,26,8,Loc_239,33,6,2019,GroupRide,9.3,1.24,VeriFone Inc.
Loc_113,7,16,Loc_164,52,3,2019,GroupRide,14.76,1.54,VeriFone Inc.
Loc_239,30,18,Loc_239,3,4,2019,GroupRide,9.36,0.4,VeriFone Inc.
Loc_264,8,19,Loc_151,12,3,2019,GroupRide,6.8,0.0,"Creative Mobile Technologies, LLC"
Loc_186,23,1,Loc_79,13,3,2019,GroupRide,17.76,2.41,VeriFone Inc.
Loc_238,8,14,Loc_141,55,1,2019,GroupRide,16.56,2.0,"Creative Mobile Technologies, LLC"
Loc_158,16,2,Loc_79,52,4,2019,GroupRide,13.3,1.7,"Creative Mobile Technologies, LLC"
Loc_230,25,9,Loc_226,9,5,2019,GroupRide,73.7,4.02,VeriFone Inc.
Loc_231,18,20,Loc_234,18,6,2019,GroupRide,16.28,2.52,VeriFone Inc.
Loc_163,19,7,Loc_163,34,3,2019,GroupRide,9.35,0.5,"Creative Mobile Technologies, LLC"
Loc_138,3,6,Loc_233,0,5,2019,GroupRide,40.7,8.66,VeriFone Inc.
Loc_226,25,19,Loc_132,54,6,2019,GroupRide,40.8,14.4,"Creative Mobile Technologies, LLC"
Loc_166,1,20,Loc_239,2,3,2019,GroupRide,18.17,2.56,VeriFone Inc.
Loc_161,3,7,Loc_100,7,5,2019,GroupRide,9.13,0.7,"Creative Mobile Technologies, LLC"
Loc_138,17,8,Loc_263,13,5,2019,GroupRide,44.27,9.0,"Creative Mobile Technologies, LLC"
Loc_236,30,5,Loc_239,47,5,2019,GroupRide,12.96,1.45,VeriFone Inc.
Loc_236,27,8,Loc_43,54,6,2019,GroupRide,7.55,0.3,"Creative Mobile Technologies, LLC"
Loc_231,10,21,Loc_148,40,6,2019,GroupRide,12.8,1.54,VeriFone Inc.
Loc_186,26,5,Loc_162,0,2,2019,GroupRide,17.25,2.36,VeriFone Inc.
Loc_162,7,7,Loc_141,59,1,2019,GroupRide,8.3,0.6,"Creative Mobile Technologies, LLC"
Loc_232,9,22,Loc_79,13,3,2019,GroupRide,14.15,1.4,"Creative Mobile Technologies, LLC"
Loc_141,19,19,Loc_229,44,4,2019,GroupRide,11.75,1.1,"Creative Mobile Technologies, LLC"
Loc_141,27,8,Loc_141,29,6,2019,GroupRide,9.36,0.66,VeriFone Inc.
Loc_236,18,15,Loc_142,42,3,2019,GroupRide,14.76,2.02,VeriFone Inc.
Loc_158,24,23,Loc_79,26,3,2019,GroupRide,13.55,1.3,"Creative Mobile Technologies, LLC"
Loc_238,7,17,Loc_143,57,1,2019,GroupRide,12.88,1.96,VeriFone Inc.
Loc_164,22,21,Loc_161,0,3,2019,GroupRide,10.56,0.76,VeriFone Inc.
Loc_100,29,22,Loc_186,30,6,2019,GroupRide,10.3,0.4,VeriFone Inc.
Loc_171,30,13,Loc_163,32,5,2019,GroupRide,43.8,12.8,VeriFone Inc.
Loc_162,9,9,Loc_141,6,4,2019,GroupRide,14.76,0.77,VeriFone Inc.
Loc_239,17,15,Loc_142,3,1,2019,GroupRide,7.88,0.73,VeriFone Inc.
Loc_238,3,18,Loc_43,21,4,2019,GroupRide,16.56,1.75,VeriFone Inc.
Loc_230,21,19,Loc_43,4,3,2019,GroupRide,18.35,1.2,"Creative Mobile Technologies, LLC"
Loc_24,23,21,Loc_234,33,3,2019,GroupRide,30.3,6.1,"Creative Mobile Technologies, LLC"
Loc_90,6,2,Loc_231,40,6,2019,GroupRide,92.75,7.2,"Creative Mobile Technologies, LLC"
Loc_142,8,12,Loc_236,10,3,2019,GroupRide,17.6,2.3,"Creative Mobile Technologies, LLC"
Loc_82,2,15,Loc_234,1,6,2019,GroupRide,46.42,9.03,VeriFone Inc.
Loc_233,7,21,Loc_162,43,3,2019,GroupRide,10.12,0.9,"Creative Mobile Technologies, LLC"
Loc_161,10,9,Loc_142,24,1,2019,GroupRide,12.35,1.4,"Creative Mobile Technologies, LLC"
Loc_164,14,17,Loc_230,3,3,2019,GroupRide,13.8,1.61,VeriFone Inc.
Loc_237,24,11,Loc_163,33,1,2019,GroupRide,17.15,0.9,"Creative Mobile Technologies, LLC"
Loc_231,26,21,Loc_79,26,6,2019,GroupRide,23.16,4.2,VeriFone Inc.
Loc_186,17,19,Loc_79,25,2,2019,GroupRide,17.94,2.11,VeriFone Inc.
Loc_113,12,19,Loc_186,24,1,2019,GroupRide,13.5,1.45,VeriFone Inc.
Loc_144,15,14,Loc_50,12,5,2019,GroupRide,26.8,3.85,VeriFone Inc.
Loc_170,31,20,Loc_162,40,5,2019,GroupRide,9.3,0.64,VeriFone Inc.
Loc_145,19,20,Loc_75,58,1,2019,GroupRide,17.8,4.76,VeriFone Inc.
Loc_170,2,1,Loc_79,11,3,2019,GroupRide,14.76,1.71,VeriFone Inc.
Loc_238,3,23,Loc_24,13,2,2019,GroupRide,9.8,0.93,VeriFone Inc.
Loc_68,13,7,Loc_186,6,5,2019,GroupRide,10.55,1.0,"Creative Mobile Technologies, LLC"
Loc_230,21,8,Loc_161,20,6,2019,GroupRide,7.3,0.31,VeriFone Inc.
Loc_236,26,13,Loc_264,12,1,2019,GroupRide,21.35,3.6,"Creative Mobile Technologies, LLC"
Loc_181,15,22,Loc_158,31,2,2019,GroupRide,33.06,7.75,VeriFone Inc.
Loc_113,2,15,Loc_239,54,1,2019,GroupRide,22.8,4.36,VeriFone Inc.
Loc_79,4,11,Loc_4,28,1,2019,GroupRide,6.96,0.67,VeriFone Inc.
Loc_231,7,19,Loc_249,50,2,2019,GroupRide,18.5,1.04,VeriFone Inc.
Loc_239,20,21,Loc_263,58,3,2019,GroupRide,13.33,1.55,VeriFone Inc.
Loc_257,9,20,Loc_79,50,3,2019,GroupRide,45.66,8.8,"Creative Mobile Technologies, LLC"
Loc_75,22,17,Loc_238,2,5,2019,GroupRide,8.75,0.9,"Creative Mobile Technologies, LLC"
Loc_151,26,22,Loc_238,57,4,2019,GroupRide,8.3,0.46,VeriFone Inc.
Loc_249,29,11,Loc_233,39,4,2019,GroupRide,19.8,3.0,VeriFone Inc.
Loc_90,17,20,Loc_170,4,5,2019,GroupRide,13.8,1.42,VeriFone Inc.
Loc_141,13,12,Loc_229,0,4,2019,GroupRide,13.39,1.4,"Creative Mobile Technologies, LLC"
Loc_79,30,18,Loc_238,14,6,2019,GroupRide,25.3,5.98,VeriFone Inc.
Loc_162,9,7,Loc_170,20,4,2019,GroupRide,10.7,1.15,VeriFone Inc.
Loc_263,2,10,Loc_236,59,2,2019,GroupRide,6.3,0.7,"Creative Mobile Technologies, LLC"
Loc_90,19,20,Loc_262,43,1,2019,GroupRide,23.3,4.85,VeriFone Inc.
Loc_142,7,13,Loc_68,53,4,2019,GroupRide,20.76,3.08,VeriFone Inc.
Loc_186,11,13,Loc_233,54,6,2019,GroupRide,20.8,1.59,VeriFone Inc.
Loc_114,25,22,Loc_114,52,1,2019,GroupRide,5.3,0.3,"Creative Mobile Technologies, LLC"
Loc_41,13,19,Loc_236,0,5,2019,GroupRide,16.55,2.2,"Creative Mobile Technologies, LLC"
Loc_4,14,15,Loc_148,4,4,2019,GroupRide,10.38,0.71,VeriFone Inc.
Loc_230,21,19,Loc_162,4,4,2019,GroupRide,8.3,0.8,"Creative Mobile Technologies, LLC"
Loc_230,1,23,Loc_230,22,6,2019,GroupRide,10.3,0.9,"Creative Mobile Technologies, LLC"
